4.979999999999999982e-01, -1.400000000000000133e-01, 4.959999999999999964e-01
4.959999999999999964e-01, -1.400000000000000133e-01, 4.949999999999999956e-01
4.949999999999999956e-01, -1.400000000000000133e-01, 4.929999999999999938e-01
4.929999999999999938e-01, -1.499999999999999944e-01, 4.919999999999999929e-01
4.919999999999999929e-01, -1.499999999999999944e-01, 4.909999999999999920e-01
4.909999999999999920e-01, -1.499999999999999944e-01, 4.889999999999999902e-01
4.889999999999999902e-01, -1.499999999999999944e-01, 4.879999999999999893e-01
4.879999999999999893e-01, -1.499999999999999944e-01, 4.859999999999999876e-01
4.859999999999999876e-01, -1.499999999999999944e-01, 4.849999999999999867e-01
4.849999999999999867e-01, -1.499999999999999944e-01, 4.829999999999999849e-01
