1.549999999999999989e-01, -1.400999999999999933e-01, 1.549999999999999881e-01
1.600000000000000033e-01, -1.400000000000000244e-01, 1.699999999999999889e-01
1.650000000000000078e-01, -1.400000000000000089e-01, 1.650000000000000333e-01
1.700000000000000122e-01, -1.400000000000000111e-01, 1.709999999999999994e-01
1.749999999999999889e-01, -1.400000000000000133e-01, 1.749999999999999745e-01
1.789999999999999925e-01, -1.490999999999999667e-02, 1.780000000000000189e-01
1.839999999999999969e-01, -1.490000000000000278e-02, 1.839999999999999689e-01
1.890000000000000013e-01, -1.490000000000000042e-02, 1.899999999999999689e-01
1.940000000000000058e-01, -1.490000000000000021e-02, 1.940000000000000133e-01
1.990000000000000102e-01, -1.490999999999999889e-02, 2.030000000000000577e-01
2.039999999999999869e-01, -1.490000000000000278e-02, 2.079999999999999634e-01



